x,mu_graph,mu_mond_template,mu_simple_template,mu_standard_template
0.008354836249764226,0.07343458264041011,0.08735179781818114,0.008285611323923652,0.008354544667505542
0.010145965450552292,0.1073385905630854,0.09582032542219054,0.01004405877721535,0.010145443274905519
0.012321081089615108,0.10481008035062093,0.10506157796333859,0.012171119736391614,0.012320145970342266
0.014962503071465452,0.10131426100039898,0.11513599352524373,0.014741926944282308,0.014960828476241392
0.01817019923294788,0.13947990268101895,0.12610660232725535,0.01784593503781258,0.018167200474049065
0.02206556874796242,0.13870434106923762,0.13803864188852977,0.021589190970392334,0.022060198963823233
0.026796036627280518,0.16417065131281122,0.1509990297987588,0.02609674723258333,0.026786421658178336
0.0325406331979031,0.18003168305572226,0.1650556681399341,0.031515111513937065,0.032523418346963255
0.039516769724162674,0.18780031619870063,0.1802765514602116,0.03801455722032123,0.039485951611459215
0.047988466602214966,0.20622422498411136,0.1967286486691252,0.0457910255041289,0.04793330570602689
0.058276345533976905,0.22443541666666672,0.2144765286758018,0.055067228687391924,0.05817763978226684
0.07076976384652219,0.23632137278106508,0.23358070050856905,0.06609241896436843,0.07059320655854544
0.08594155019505281,0.2546435009915269,0.25409564163571985,0.07914012515647487,0.0856259175595372
0.1043658993401,0.26461821651858053,0.2760674939803941,0.09450300792741113,0.10380211160505404
0.12674010324862506,0.2893654802966943,0.29953141653689686,0.11248388415678744,0.1257342879595311
0.1539109409590486,0.33293348998655015,0.3245085974997336,0.13338199292150638,0.15211973653987992
0.18690672596683974,0.33408345804276196,0.35100294840686597,0.1574738114442715,0.1837251356050925
0.22697622400306372,0.34456558715397917,0.3789975289301978,0.18498828221996336,0.22134614798047025
0.2756359140966876,0.37937451522416377,0.4084507843903057,0.2160772608004478,0.26572638628313966
0.33472738157319515,0.4050795487244898,0.4392927192090452,0.2507833331317921,0.31741727807582076
0.4064870150975504,0.43188715867768585,0.47142117804880046,0.28900872225212654,0.3765655035916925
0.493630645531115,0.4953100222784491,0.5046984609905587,0.3304904375174939,0.442638639668592
0.5994563298633001,0.5370198688955672,0.5389485569788472,0.3747875566659163,0.5141528428978689
0.7279691702012184,0.5526496766584598,0.5739553361865366,0.4212859712748509,0.5885399030995224
0.8840328917442539,0.565438574199548,0.6094620898523994,0.4692237039056195,0.6623290218847288
1.073553916396884,0.5905815744687718,0.6451728358275691,0.5177361957688312,0.7317293304596205
1.303704898510162,0.6178838346354167,0.6807558072897815,0.5659166238493855,0.7934614842808675
1.5831961827346608,0.6706517322371441,0.7158494966763729,0.6128826735330007,0.8454680175386067
1.9226054576384366,0.7103296362945338,0.7500715222026644,0.6578395495066127,0.8871704912227377
2.334778081233291,0.7255440484891161,0.7830304077692822,0.7001299709784068,0.9192332715767025
2.835313229217179,0.703182201570261,0.8143401117779159,0.7392651029433367,0.9430632568980827
3.443154264805988,0.8088394965738258,0.8436368100685392,0.7749346656898788,0.9603182497487859
4.1813056734210905,0.858540370170062,0.8705970523705631,0.8069984550168946,0.9725724432006618
5.077703695500421,0.9147254945991574,0.8949560102070322,0.8354641736252556,0.9811539061097821
6.166273607593786,0.8967996987662233,0.91652417932697,0.8604574630055509,0.9871038654784122
7.488213665835109,0.9187782945900251,0.9352006729734581,0.8821895820053424,0.9912006283505082
9.093554304198433,0.9719771248739894,0.9509812339153774,0.9009268717577467,0.994007812274651
11.043051597297564,0.9838356256507599,0.9639593829404188,0.916964567334047,0.9959249698326283
13.410486648138589,1.0092621205416359,0.9743197516793226,0.9306060909380065,0.9972313097645743
16.285457923959513,0.9874262192655676,0.9823235934489428,0.9421479023350667,0.9981200597843899
19.776772219512885,0.9434884203061393,0.9882876132263739,0.9518693284291372,0.998724068477566
24.016562582933048,0.9226737444732794,0.992558401533513,0.9600264825878906,0.9991342668488277
29.165289052115433,0.9885751711902102,0.9954856303074747,0.9668493148442125,0.9994127071465119
35.41781146057589,0.7552923868981687,0.997397509839496,0.9725409089702562,0.999601648004149
